Place_Id,Place_Name,Description,Category,City,Link_Image,Cleaned,embedding_text
1,monumen nasional,"monumen nasional atau yang populer disingkat dengan monas atau tugu monas adalah monumen peringatan setinggi 132 meter 433 kaki yang didirikan untuk mengenang perlawanan dan perjuangan rakyat indonesia untuk merebut kemerdekaan dari pemerintahan kolonial hindia belanda. pembangunan monumen ini dimulai pada tanggal 17 agustus 1961 di bawah perintah presiden soekarno dan dibuka untuk umum pada tanggal 12 juli 1975. tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. monumen nasional terletak tepat di tengah lapangan medan merdeka, jakarta pusat.",budaya,jakarta,https://www.kemenparekraf.go.id/_next/image?url=https%3A%2F%2Fapi2.kemenparekraf.go.id%2Fstorage%2Fapp%2Fuploads%2Fpublic%2F672%2Fb14%2Fd5d%2F672b14d5d8104145390769.jpg&w=3840&q=75,monumen nasional populer disingkat monas tugu monas monumen peringatan 132 meter 433 kaki didirikan mengenang perlawanan perjuangan rakyat indonesia merebut kemerdekaan pemerintahan kolonial hindia belanda pembangunan monumen tanggal 17 agustus 1961 perintah presiden soekarno dibuka tanggal 12 juli 1975 tugu dimahkotai lidah api dilapisi lembaran emas melambangkan semangat perjuangan menyalanyala monumen nasional terletak lapangan medan merdeka jakarta pusat,"Monumen Nasional. Budaya di Jakarta. Monumen nasional atau yang populer disingkat dengan monas atau tugu monas adalah monumen peringatan setinggi 132 meter 433 kaki yang didirikan untuk mengenang perlawanan dan perjuangan rakyat indonesia untuk merebut kemerdekaan dari pemerintahan kolonial hindia belanda. pembangunan monumen ini dimulai pada tanggal 17 agustus 1961 di bawah perintah presiden soekarno dan dibuka untuk umum pada tanggal 12 juli 1975. tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. monumen nasional terletak tepat di tengah lapangan medan merdeka, jakarta pusat."
2,kota tua,"kota tua di jakarta, yang juga bernama kota tua, berpusat di alun-alun fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. museum sejarah jakarta adalah bangunan era belanda dengan lukisan dan barang antik, sedangkan museum wayang memamerkan boneka kayu khas jawa. desa glodok, atau chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan sunda kelapa yang kuno",budaya,jakarta,https://rexnewsplus.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-12-06-at-15.20.55.jpeg,kota tua jakarta bernama kota tua berpusat alunalun fatahillah alunalun ramai pertunjukan rutin tarian tradisional museum sejarah jakarta bangunan era belanda lukisan barang antik museum wayang memamerkan boneka kayu khas jawa desa glodok chinatown terkenal makanan kaki pangsit mi goreng dekatnya sekunar kapal penangkap ikan pelabuhan sunda kelapa kuno,"Kota Tua. Budaya di Jakarta. Kota tua di jakarta, yang juga bernama kota tua, berpusat di alun-alun fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. museum sejarah jakarta adalah bangunan era belanda dengan lukisan dan barang antik, sedangkan museum wayang memamerkan boneka kayu khas jawa. desa glodok, atau chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan sunda kelapa yang kuno"
3,dunia fantasi,"dunia fantasi atau disebut juga dufan adalah tempat hiburan yang terletak di kawasan taman impian jaya ancol, jakarta utara, indonesia. dufan diresmikan dan dibuka pada tanggal 29 agustus 1985.",taman hiburan,jakarta,https://www.ancol.com/shared/file-manager/Header%20Jelajah/3.jpg,dunia fantasi dufan hiburan terletak kawasan taman impian jaya ancol jakarta utara indonesia dufan diresmikan dibuka tanggal 29 agustus 1985,"Dunia Fantasi. Taman Hiburan di Jakarta. Dunia fantasi atau disebut juga dufan adalah tempat hiburan yang terletak di kawasan taman impian jaya ancol, jakarta utara, indonesia. dufan diresmikan dan dibuka pada tanggal 29 agustus 1985."
4,taman mini indonesia indah tmii,"taman mini indonesia indah merupakan suatu kawasan taman wisata bertema budaya indonesia di jakarta timur. area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6186.8ls,1065347.2bt",taman hiburan,jakarta,https://azrago.com/assets/home/img/study/tmii.jpeg,taman mini indonesia indah kawasan taman wisata bertema budaya indonesia jakarta timur area seluas 150 hektare 15 kilometer persegi terletak koordinat 61868ls10653472bt,"Taman Mini Indonesia Indah Tmii. Taman Hiburan di Jakarta. Taman mini indonesia indah merupakan suatu kawasan taman wisata bertema budaya indonesia di jakarta timur. area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6186.8ls,1065347.2bt"
5,atlantis water adventure,"atlantis water adventure atau dikenal dengan atlantis ancol akan menyuguhkan petualangan wisata air tak terlupakan. tempat wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. yaitu kolam antila, plaza atlas, poseidon, aquarius, octopus, kiddy pool, dan atlantean. berlokasi di kawasan ancol jakarta baycity, atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",taman hiburan,jakarta,https://www.ancol.com/shared/file-manager/Header%20Jelajah/6.jpg,atlantis water adventure dikenal atlantis ancol menyuguhkan petualangan wisata air terlupakan wisata bertemakan permainan air luas 5 hektar sensasi petualangan 8 kolam utama kolam antila plaza atlas poseidon aquarius octopus kiddy pool atlantean berlokasi kawasan ancol jakarta baycity atlantis pilihan destinasi pas wisata berenang,"Atlantis Water Adventure. Taman Hiburan di Jakarta. Atlantis water adventure atau dikenal dengan atlantis ancol akan menyuguhkan petualangan wisata air tak terlupakan. tempat wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. yaitu kolam antila, plaza atlas, poseidon, aquarius, octopus, kiddy pool, dan atlantean. berlokasi di kawasan ancol jakarta baycity, atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang."
6,taman impian jaya ancol,taman impian jaya ancol merupakan sebuah objek wisata di jakarta utara.nn,taman hiburan,jakarta,https://www.ancol.com/blog/wp-content/uploads/2022/03/wisata-pantai-di-jakarta.jpg,taman impian jaya ancol objek wisata jakarta utarann,Taman Impian Jaya Ancol. Taman Hiburan di Jakarta. Taman impian jaya ancol merupakan sebuah objek wisata di jakarta utara.nn
7,kebun binatang ragunan,"kebun binatang ragunan adalah sebuah kebun binatang yang terletak di daerah ragunan, pasar minggu, jakarta selatan, indonesia. kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.nragunan sempat ditutup selama sekitar tiga minggu sejak 19 september 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 oktober 2005.kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",cagar alam,jakarta,https://www.99.co/id/_next/image?url=https%3A%2F%2Fassets-id.99.co%2Fprod%2Fassets%2FKebun_Binatang_Ragunan_24e00c752e%2FKebun_Binatang_Ragunan_24e00c752e.jpg&w=2048&q=75,kebun binatang ragunan kebun binatang terletak daerah ragunan pasar minggu jakarta selatan indonesia kebun binatang seluas 140 hektare didirikan 1864 dalamnya koleksi 295 spesies 4040 spesimennragunan ditutup minggu 19 september 2005 hewanhewan dalamnya terinfeksi flu burung dibuka 11 oktober 2005kebun binatang memiliki spesies hewan langka kakatua orangutan gorila anoa gajah,"Kebun Binatang Ragunan. Cagar Alam di Jakarta. Kebun binatang ragunan adalah sebuah kebun binatang yang terletak di daerah ragunan, pasar minggu, jakarta selatan, indonesia. kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.nragunan sempat ditutup selama sekitar tiga minggu sejak 19 september 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 oktober 2005.kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah"
8,ocean ecopark,"ocean ecopark salah satu zona rekreasi ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya outbondholic, rumah energy, rumah lebah, kano, paintball, outbondholic, eco-market, learning farm, eco-bike, faunaland. kalau berencana berwisata ke ocean eco park ancol tidak perlu khawatir dengan harga tiket masuknya. karena harga tiket masuk ocean eco park ditawarkan dengan harga yang masih terjangkau.",taman hiburan,jakarta,https://asset-2.tstatic.net/tribunnews/foto/images/preview/wisata-ecopark-di-taman-impian-jaya-ancol_20161129_195414.jpg,ocean ecopark salah zona rekreasi ancol menawarkan ruang terbuka hijau pengalaman melupakan sisi pendidikan pengunjung beragam aktivitas wahana seru dimainkan rekreasi keluarga outbondholic rumah energy rumah lebah kano paintball outbondholic ecomarket learning farm ecobike faunaland berencana berwisata ocean eco park ancol khawatir harga tiket masuknya harga tiket masuk ocean eco park ditawarkan harga terjangkau,"Ocean Ecopark. Taman Hiburan di Jakarta. Ocean ecopark salah satu zona rekreasi ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya outbondholic, rumah energy, rumah lebah, kano, paintball, outbondholic, eco-market, learning farm, eco-bike, faunaland. kalau berencana berwisata ke ocean eco park ancol tidak perlu khawatir dengan harga tiket masuknya. karena harga tiket masuk ocean eco park ditawarkan dengan harga yang masih terjangkau."
9,pelabuhan marina,"pelabuhan marina ancol berada di kawasan taman impian jaya ancol, jakarta. pelabuhan yang biasa disebut dermaga marina ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan seribu, begitu juga sebaliknya. banyak orang yang berada di jakarta dan sekitarnya, menjadikan kepulaun seribu sebagai tujuan wisata yang utama. liburan di pulau seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. marina ancol berada di jakarta utara atau secara lengkap beralamat di kota tua, ancol, pademangan, kota jakarta. sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online.",bahari,jakarta,https://a.travel-assets.com/findyours-php/viewfinder/images/res70/511000/511342-marina-mirage.jpg,pelabuhan marina ancol kawasan taman impian jaya ancol jakarta pelabuhan dermaga marina ancol kawasan keperluan penyeberangan dikembangkan wisata air olahraga air wahana bermain fungsi utama pelabuhan melayani penumpang menyeberang kepulauan seribu orang jakarta menjadikan kepulaun seribu tujuan wisata utama liburan pulau seribu menghilangkan kepenatan kota metropolitan sembari menikmati keindahan pantai terjaga marina ancol jakarta utara lengkap beralamat kota tua ancol pademangan kota jakarta mudah pusat kota transportasi jasa transportasi online,"Pelabuhan Marina. Bahari di Jakarta. Pelabuhan marina ancol berada di kawasan taman impian jaya ancol, jakarta. pelabuhan yang biasa disebut dermaga marina ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan seribu, begitu juga sebaliknya. banyak orang yang berada di jakarta dan sekitarnya, menjadikan kepulaun seribu sebagai tujuan wisata yang utama. liburan di pulau seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. marina ancol berada di jakarta utara atau secara lengkap beralamat di kota tua, ancol, pademangan, kota jakarta. sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online."
10,pulau tidung,"pulau tidung adalah salah satu kelurahan di kecamatan kepulauan seribu selatan, kabupaten kepulauan seribu, jakarta, indonesia.",bahari,jakarta,https://pandooin-com.s3.ap-southeast-1.amazonaws.com/blog/article/images/CUF22NL51d0ZC1bf3aZF1pFyhaTwJTCCtm7L8SOl.png,pulau tidung salah kelurahan kecamatan kepulauan seribu selatan kabupaten kepulauan seribu jakarta indonesia,"Pulau Tidung. Bahari di Jakarta. Pulau tidung adalah salah satu kelurahan di kecamatan kepulauan seribu selatan, kabupaten kepulauan seribu, jakarta, indonesia."
