Place_Id,Place_Name,Description,Category,City,Link_Image,Cleaned
1,Monumen Nasional,"Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat.",Budaya,Jakarta,https://www.kemenparekraf.go.id/_next/image?url=https%3A%2F%2Fapi2.kemenparekraf.go.id%2Fstorage%2Fapp%2Fuploads%2Fpublic%2F672%2Fb14%2Fd5d%2F672b14d5d8104145390769.jpg&w=3840&q=75,monumen nasional populer disingkat monas tugu monas monumen peringatan 132 meter 433 kaki didirikan mengenang perlawanan perjuangan rakyat indonesia merebut kemerdekaan pemerintahan kolonial hindia belanda pembangunan monumen tanggal 17 agustus 1961 perintah presiden soekarno dibuka tanggal 12 juli 1975 tugu dimahkotai lidah api dilapisi lembaran emas melambangkan semangat perjuangan menyalanyala monumen nasional terletak lapangan medan merdeka jakarta pusat
2,Kota Tua,"Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno",Budaya,Jakarta,https://rexnewsplus.com/wp-content/uploads/2023/12/WhatsApp-Image-2023-12-06-at-15.20.55.jpeg,kota tua jakarta bernama kota tua berpusat alunalun fatahillah alunalun ramai pertunjukan rutin tarian tradisional museum sejarah jakarta bangunan era belanda lukisan barang antik museum wayang memamerkan boneka kayu khas jawa desa glodok chinatown terkenal makanan kaki pangsit mi goreng dekatnya sekunar kapal penangkap ikan pelabuhan sunda kelapa kuno
3,Dunia Fantasi,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",Taman Hiburan,Jakarta,https://www.ancol.com/shared/file-manager/Header%20Jelajah/3.jpg,dunia fantasi dufan hiburan terletak kawasan taman impian jaya ancol jakarta utara indonesia dufan diresmikan dibuka tanggal 29 agustus 1985
4,Taman Mini Indonesia Indah (TMII),"Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6°18′6.8″LS,106°53′47.2″BT",Taman Hiburan,Jakarta,https://azrago.com/assets/home/img/study/tmii.jpeg,taman mini indonesia indah kawasan taman wisata bertema budaya indonesia jakarta timur area seluas 150 hektare 15 kilometer persegi terletak koordinat 61868ls10653472bt
5,Atlantis Water Adventure,"Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",Taman Hiburan,Jakarta,https://www.ancol.com/shared/file-manager/Header%20Jelajah/6.jpg,atlantis water adventure dikenal atlantis ancol menyuguhkan petualangan wisata air terlupakan wisata bertemakan permainan air luas 5 hektar sensasi petualangan 8 kolam utama kolam antila plaza atlas poseidon aquarius octopus kiddy pool atlantean berlokasi kawasan ancol jakarta baycity atlantis pilihan destinasi pas wisata berenang
6,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.\n\n,Taman Hiburan,Jakarta,https://www.ancol.com/blog/wp-content/uploads/2022/03/wisata-pantai-di-jakarta.jpg,taman impian jaya ancol objek wisata jakarta utarann
7,Kebun Binatang Ragunan,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nRagunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",Cagar Alam,Jakarta,https://www.99.co/id/_next/image?url=https%3A%2F%2Fassets-id.99.co%2Fprod%2Fassets%2FKebun_Binatang_Ragunan_24e00c752e%2FKebun_Binatang_Ragunan_24e00c752e.jpg&w=2048&q=75,kebun binatang ragunan kebun binatang terletak daerah ragunan pasar minggu jakarta selatan indonesia kebun binatang seluas 140 hektare didirikan 1864 dalamnya koleksi 295 spesies 4040 spesimennragunan ditutup minggu 19 september 2005 hewanhewan dalamnya terinfeksi flu burung dibuka 11 oktober 2005kebun binatang memiliki spesies hewan langka kakatua orangutan gorila anoa gajah
8,Ocean Ecopark,"Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau.
",Taman Hiburan,Jakarta,https://asset-2.tstatic.net/tribunnews/foto/images/preview/wisata-ecopark-di-taman-impian-jaya-ancol_20161129_195414.jpg,ocean ecopark salah zona rekreasi ancol menawarkan ruang terbuka hijau pengalaman melupakan sisi pendidikan pengunjung beragam aktivitas wahana seru dimainkan rekreasi keluarga outbondholic rumah energy rumah lebah kano paintball outbondholic ecomarket learning farm ecobike faunaland berencana berwisata ocean eco park ancol khawatir harga tiket masuknya harga tiket masuk ocean eco park ditawarkan harga terjangkau
9,Pelabuhan Marina,"Pelabuhan Marina Ancol berada di kawasan Taman Impian Jaya Ancol, Jakarta. Pelabuhan yang biasa disebut Dermaga Marina Ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. Fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan Seribu, begitu juga sebaliknya. Banyak orang yang berada di Jakarta dan sekitarnya, menjadikan kepulaun Seribu sebagai tujuan wisata yang utama. Liburan di Pulau Seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. Marina Ancol berada di Jakarta Utara atau secara lengkap beralamat di Kota Tua, Ancol, Pademangan, Kota Jakarta. Sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. Selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online.",Bahari,Jakarta,https://a.travel-assets.com/findyours-php/viewfinder/images/res70/511000/511342-marina-mirage.jpg,pelabuhan marina ancol kawasan taman impian jaya ancol jakarta pelabuhan dermaga marina ancol kawasan keperluan penyeberangan dikembangkan wisata air olahraga air wahana bermain fungsi utama pelabuhan melayani penumpang menyeberang kepulauan seribu orang jakarta menjadikan kepulaun seribu tujuan wisata utama liburan pulau seribu menghilangkan kepenatan kota metropolitan sembari menikmati keindahan pantai terjaga marina ancol jakarta utara lengkap beralamat kota tua ancol pademangan kota jakarta mudah pusat kota transportasi jasa transportasi online
10,Pulau Tidung,"Pulau Tidung adalah salah satu kelurahan di kecamatan Kepulauan Seribu Selatan, Kabupaten Kepulauan Seribu, Jakarta, Indonesia.",Bahari,Jakarta,https://pandooin-com.s3.ap-southeast-1.amazonaws.com/blog/article/images/CUF22NL51d0ZC1bf3aZF1pFyhaTwJTCCtm7L8SOl.png,pulau tidung salah kelurahan kecamatan kepulauan seribu selatan kabupaten kepulauan seribu jakarta indonesia
